Time,u100,v100
2021-01-23 02:00:00,-1.03402,-2.83932
2021-01-23 03:00:00,-1.3049,-3.35056
2021-01-23 04:00:00,-1.53065,-3.57355
2021-01-23 05:00:00,-1.81904,-3.21731
2021-01-23 06:00:00,-1.90289,-2.32808
2021-01-23 07:00:00,-2.43269,-2.54291
2021-01-23 08:00:00,-3.22048,-2.8792
2021-01-23 09:00:00,-3.90046,-3.05868
2021-01-23 10:00:00,-4.34181,-2.73326
2021-01-23 11:00:00,-4.94348,-2.99795
2021-01-23 12:00:00,-4.06539,-2.74414
2021-01-23 13:00:00,-4.08474,-2.4432
2021-01-23 14:00:00,-4.52885,-1.90567
2021-01-23 15:00:00,-4.47357,-1.95643
2021-01-23 16:00:00,-4.21927,-1.99813
2021-01-23 17:00:00,-4.03775,-1.34185
2021-01-23 18:00:00,-4.26718,-1.70171
2021-01-23 19:00:00,-4.23124,-1.99269
2021-01-23 20:00:00,-4.25612,-1.52586
2021-01-23 21:00:00,-4.44869,-1.45697
2021-01-23 22:00:00,-4.64863,-1.4615
2021-01-23 23:00:00,-4.70576,-1.32281
2021-01-24 00:00:00,-3.94649,-1.75089
2021-01-24 01:00:00,-2.63634,-2.05062
2021-01-24 02:00:00,-1.84526,-1.32708
2021-01-24 03:00:00,-1.99866,-1.28689
2021-01-24 04:00:00,-2.19219,-1.21436
2021-01-24 05:00:00,-2.18416,-1.22921
2021-01-24 06:00:00,-1.79264,-1.51758
2021-01-24 07:00:00,-1.08806,-1.79196
2021-01-24 08:00:00,-0.48606,-2.06722
2021-01-24 09:00:00,-0.31571,-2.43336
2021-01-24 10:00:00,-0.3719,-2.44734
2021-01-24 11:00:00,-0.67246,-2.43773
2021-01-24 12:00:00,-0.83923,-1.72817
2021-01-24 13:00:00,-0.59932,-0.94958
2021-01-24 14:00:00,0.05976,-0.48907
2021-01-24 15:00:00,0.55118,-1.23096
2021-01-24 16:00:00,0.49499,-1.89333
2021-01-24 17:00:00,0.04817,-2.30403
2021-01-24 18:00:00,-0.21047,-2.39317
2021-01-24 19:00:00,0.01874,-2.80999
2021-01-24 20:00:00,0.19711,-3.15515
2021-01-24 21:00:00,0.1106,-2.74008
2021-01-24 22:00:00,0.59488,-1.33495
2021-01-24 23:00:00,0.30681,-0.86307
2021-01-25 00:00:00,0.48879,-0.18252
2021-01-25 01:00:00,1.38616,-0.10007
2021-01-25 02:00:00,2.29009,-0.09418
2021-01-25 03:00:00,3.03164,-0.40041
